Gene,P0,TBLC_P6,TBLC_P6_r1,TBLC_P6_r2,,
Plekhg2,34.37825464,46.69491341,59.62689836,30.40512541,,
Plekhg3,41.90176325,133.660594,69.47747136,50.59489965,,
Plekhg1,43.93938017,45.59226145,46.44521373,24.81559364,,
Plekhg6,6.060604161,3.739428384,7.613969464,7.420585282,,
4930592I03Rik,0,0.335589727,0.095174618,0.289113712,,
Plekhg4,4.858932646,8.150036222,5.377365934,5.926831102,,
Plekhg5,90.43884312,38.16134608,65.0042643,84.03571904,,
Nsa2,196.7606489,180.8349214,191.1582209,195.8263544,,
Nampt,341.797176,189.9917268,250.8802938,380.8591303,,
Vmo1,0.052246588,0.191765558,0.333111164,0.289113712,,
Man2a1,61.70321995,106.0942951,76.61556773,62.20763376,,
F930015N05Rik,0,0.239706948,0,0,,
4931406P16Rik,138.2967174,113.5252104,133.149291,99.50330264,,
Vwf,16.92789438,7.862387885,24.60263883,27.32124581,,
Mier1,80.72097783,64.86470005,68.24020132,56.18443142,,
Mier2,55.1723965,71.00119791,86.89442651,78.30163041,,
Mier3,42.68546206,32.79191045,33.97733873,26.35753344,,
Aqp11,3.082548668,5.177670071,5.04425477,8.143369562,,
Aqp12,0,0,0,0,,
1810010H24Rik,4.493206533,3.307955878,3.806984732,7.179657188,,
Tubal3,0,0,0,0,,
Dag1,389.3415707,348.8694917,340.2016731,321.1089631,,
Myadm,254.4408816,437.7048865,414.53305,287.1381019,,
Gm15008,0,0,0,0,,
Sacs,107.8369568,93.24600266,100.361635,113.5253177,,
Zfp712,6.739809799,5.417377018,4.092508587,4.240334447,,
Zfp710,294.3572745,92.28717487,196.2024756,198.0428929,,
Zfp711,1.097178339,2.972366152,0.999333492,0.674598662,,
Zfp715,37.19957037,33.9425038,38.16502194,20.18977424,,
Mllt6,312.0688677,197.4705835,270.295916,209.2701421,,
Zfp719,21.78682703,4.842080344,25.5067977,2.505652173,,
Mllt1,68.75650927,83.27419363,104.5493182,99.16600331,,
Mllt3,12.2257015,42.42812974,24.9833373,24.62285116,,
Btg4,0,0,0,0,,
Btg3,2.769069142,3.068248931,1.66555582,2.168352842,,
Btg2,49.2685321,222.5918716,109.7363349,69.14636285,,
Btg1,73.82442827,244.1175555,105.2155405,164.5057023,,
Smok3a,0,0,0,0,,
Smok3c,0,0,0,0,,
Smok3b,0,0,0,0,,
Nupl1,155.4858447,89.17098455,133.1017037,121.4277592,,
Nupl2,35.7889125,14.43035825,27.83857585,12.19096153,,
Hoxd3os1,0,0,0.095174618,0,,
Ttc30a2,0.417972701,0.04794139,0.904158874,0,,
Npat,125.6007966,106.5257676,91.12969702,103.4063378,,
Ttc30a1,13.37512642,3.16413171,17.22660591,1.831053511,,
Gga1,110.344793,108.2516576,103.2644609,102.4426254,,
Gga3,149.8954598,94.63630296,119.301384,114.248102,,
Gga2,392.2673796,276.1903452,384.0295848,403.3136286,,
Sorbs1,40.80458491,164.91838,50.06184923,58.35278426,,
Sorbs3,41.06581785,43.81843004,32.31178291,32.91077758,,
Sorbs2,2.403343029,16.30007244,11.23060496,4.384891303,,
Tshz2,2.298849854,27.56629899,4.996667461,4.963118727,,
Tshz3,3.605014544,15.05359632,6.519461354,6.456872908,,
Tshz1,8.411700602,35.52456965,17.75006631,5.734088627,,
Mir302c,0,0,0,0,,
Bbof1,1.358411277,1.390300297,1.951079675,1.975610367,,
Speer4d,0,0.671179454,0.142761927,0,,
Speer4e,0,0.095882779,0.237936546,0.048185619,,
Speer4a,0,0,0,0,,
Speer4b,0,0,0.190349237,0.096371237,,
Speer4c,0.104493175,0.04794139,0,0,,
